title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 180 2022,C 180,الأزرق الداكن,"20,000 كم",التجمع - القاهرة الجديدة,2024-05-10,"2,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/05/6265731/medium_up_ef24e1fb832781c689c3696e07b8db25.jpg
مرسيدس CLA 200 2020,CLA 200,أبيض,"67,000 كم",الجيزة,2024-05-10,"2,450,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/10/6455907/medium_up_002a3d986291d1940ad8d545ecb5b78a.jpg
مرسيدس E 200 1984,E 200,ذهبي,"200,000 كم",كفر الدوار,2024-05-10,"165,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/10/6455872/medium_up_2e7ebb00a2912ea745bb1f52c1524951.jpg
مرسيدس S 320 2001,S 320,أسود,"220,000 كم",المنيا‎,2024-05-09,"830,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6455802/medium_up_044f52d81b3ac18e96a8ba1b28a9e1ec.jpg
مرسيدس C 200 2022,C 200,أبيض,"5,000 كم",القاهرة,2024-05-09,"3,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6455449/medium_up_cac603cb748025dc418ecde3a1bfcf70.jpg
مرسيدس C 200 2019,C 200,أبيض,"40,000 كم",طنطا,2024-05-09,"2,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6455199/medium_up_1f33dc321975aefc304cfd8862ae9273.jpg
مرسيدس GLA 2019,GLA,فضي,"92,000 كم",6 أكتوبر,2024-05-09,"1,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/14/6283017/medium_up_fd06fa490b8f6d12c9df02c0ddae4fda.jpg
مرسيدس A 200 2023,A 200,أبيض,"2,000 كم",التجمع - القاهرة الجديدة,2024-05-09,"2,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/20/6295075/medium_up_60385cd1885d6ce480a0d69a8ba54866.jpg
مرسيدس C 180 2016,C 180,أسود,"49,000 كم",الإسكندرية,2024-05-09,"2,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/18/6410928/medium_up_dcd7e83a177e6e8e871f65581d9f6701.jpg
مرسيدس E 200 2021,E 200,فيراني,"19,000 كم",التجمع - القاهرة الجديدة,2024-05-09,"3,900,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/26/6369697/medium_up_af348d026736f10d308a2545828befbf.jpg
مرسيدس C 200 2022,C 200,أبيض,- كم,6 أكتوبر,2024-05-09,"3,480,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6454765/medium_up_751e22a68ba9dc36592c88400c176651.jpg
مرسيدس C 180 2018,C 180,أسود,"106,000 كم",التجمع - القاهرة الجديدة,2024-05-09,"2,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6454563/medium_up_2089c98c27e78784abee0f20102b6226.jpg
مرسيدس C 180 2014,C 180,فضي,"253,000 كم",مصر الجديدة,2024-05-09,"1,280,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6454413/medium_up_5a35838590923bff56eff180a66b8326.jpg
مرسيدس CLA 200 2023,CLA 200,موكا,"177,000 كم",التجمع - القاهرة الجديدة,2024-05-09,"3,000,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس C 200 2020,C 200,فيراني,"75,000 كم",التجمع - القاهرة الجديدة,2024-05-08,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6447645/medium_up_36b54f8b82ccc5a8ebe6a398aca8e141.jpg
مرسيدس 200 2023,200,أزرق,"18,000 كم",الشروق,2024-05-08,"3,750,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس C Class 2016,C Class,فضي,"90,000 كم",مدينة نصر,2024-05-08,"2,150,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/01/22/6243699/medium_up_5d28aa81fc6178bf3ab2fae65700c5bf.jpg
مرسيدس C 180 2019,C 180,فضي,"80,000 كم",القاهرة,2024-05-08,"2,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6453244/medium_up_a32225ac528f773f8c91ca272924f31e.jpg
مرسيدس B 150 2006,B 150,أسود,"300,000 كم",المنيا‎,2024-05-08,"510,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6453075/medium_up_27b10b1c093a85c474a93466c518230b.jpg
مرسيدس C 180 2023,C 180,احمر,"9,000 كم",التجمع - القاهرة الجديدة,2024-05-08,"2,950,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6452851/medium_up_edfab48714d84b65941348f128f3e02d.jpg
مرسيدس E 220 2000,E 220,أخضر,"211,000 كم",الإسكندرية,2024-05-08,"490,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس C 180 2013,C 180,فضي,"220,000 كم",مدينة نصر,2024-05-08,"1,150,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/18/6410972/medium_up_016975df9ff229838a17853d9b94fa55.jpg
مرسيدس E 200 2004,E 200,بترولي,"143,000 كم",دمنهور,2024-05-08,"750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/12/6340340/medium_up_2597f3621dcb19b5ca22f2ed41693017.jpg
مرسيدس C 180 2009,C 180,فضي,"155,000 كم",طنطا,2024-05-08,"1,130,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/12/6279690/medium_up_1c9911d8828ac53e09e6c1ace343e275.jpg
مرسيدس E 240 2004,E 240,ذهبي,"318,000 كم",الإسماعيلية,2024-05-08,"1,230,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6452454/medium_up_30eaa6b5e62e02285fdcd0461edafcf9.jpg
مرسيدس GLK 350 2013,GLK 350,فضي,"195,000 كم",الأقصر,2024-05-08,"1,600,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/02/6440743/medium_up_9c828c5a30ca3282e6f818cf01869141.jpg
مرسيدس C 180 2023,C 180,فضي,"13,000 كم",6 أكتوبر,2024-05-08,"2,785,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6452073/medium_up_f8689807c09eb42616efea6a01667c3b.jpg
مرسيدس S 320 2001,S 320,فضي,"192,000 كم",القاهرة,2024-05-08,"620,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6452103/medium_up_475d84f8fd34761aaa545415e1d3293d.jpg
مرسيدس A 180 2021,A 180,أسود,"18,000 كم",6 أكتوبر,2024-05-08,"2,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6451974/medium_up_80bd0943c594d4dbfa66ac29d1102455.jpg
مرسيدس CLA 200 2021,CLA 200,أبيض,"40,000 كم",التجمع - القاهرة الجديدة,2024-05-08,"2,600,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/08/6451965/medium_up_ab2e1412b3bd2783f918593b7f486fe0.jpg
مرسيدس GLC 200 2020,GLC 200,أسود,"46,000 كم",الإسكندرية,2024-05-07,"4,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451909/medium_up_c63be50bc6282d623bd66e5dd498067f.jpg
مرسيدس C 180 2018,C 180,أسود,"85,000 كم",الدقى,2024-05-07,"2,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451831/medium_up_1592ade9e69ba85b0d155376b134c8d5.jpg
مرسيدس E 200 2022,E 200,أسود,- كم,القاهرة,2024-05-07,"4,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451741/medium_up_8cd5eab7edeb03b8f9ee3182390fcd13.jpg
مرسيدس C 200 2010,C 200,فضي,"226,000 كم",الإسكندرية,2024-05-07,"900,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451725/medium_up_4268c248452466ae7efb6d345148e9a4.jpg
مرسيدس CLA 200 2020,CLA 200,أبيض,"100,000 كم",التجمع - القاهرة الجديدة,2024-05-07,"2,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451546/medium_up_43714c9642a580c94053c3c277baec26.jpg
مرسيدس C 180 2012,C 180,أسود,"310,000 كم",التجمع - القاهرة الجديدة,2024-05-07,"1,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451513/medium_up_28def604df4f31a6d18817933c0be55a.jpg
مرسيدس C 180 2001,C 180,الأزرق الداكن,"180,000 كم",القاهرة,2024-05-07,"550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443863/medium_up_b99ed11e50ec33d48d304725fa8ef193.jpg
مرسيدس E 200 2005,E 200,أسود,"260,000 كم",الجيزة,2024-05-07,"950,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6450912/medium_up_249be1ee4732e9853744fbc7463685dd.jpg
مرسيدس C 180 2012,C 180,فضي,"160,000 كم",الإسكندرية,2024-05-07,"1,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445500/medium_up_1f783b3849e280f6e39ba333641d848c.jpg
مرسيدس CLA 200 2022,CLA 200,احمر,"23,000 كم",التجمع - القاهرة الجديدة,2024-05-07,"2,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451065/medium_up_c2c6d1d3bcd26add3d14ce38620d115f.jpg
مرسيدس C 180 2012,C 180,أسود,"275,000 كم",سوهاج,2024-05-07,"1,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451036/medium_up_573319ff60f503d0e085e87a2369994b.jpg
مرسيدس E 250 2011,E 250,الأزرق الداكن,"200,000 كم",مدينة الشيخ زايد,2024-05-07,"1,680,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/16/6287444/medium_up_9e7be146371d6eea8c703e9592658b31.jpg
مرسيدس C 180 2019,C 180,فضي,"83,000 كم",مدينة نصر,2024-05-07,"2,470,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6450708/medium_up_a86f7eec0910647811278f5ec913ace0.jpg
مرسيدس C 200 2019,C 200,أسود,"80,000 كم",التجمع - القاهرة الجديدة,2024-02-28,"2,700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/28/6312445/medium_up_3fa8baa7093ca298d286e0bb5941a38d.jpg
مرسيدس GLK 300 2010,GLK 300,أسود,"105,000 كم",القاهرة,2024-05-07,"1,600,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6450612/medium_up_689ff74e70bfdfeff879a492579d5099.jpg
مرسيدس E 200 2015,E 200,أسود,"300,000 كم",الباجور,2024-05-07,"1,480,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6450465/medium_up_f32753a4409a34f929a3eaf07dae2dd9.jpg
مرسيدس C 250 2010,C 250,الأزرق الداكن,"160,000 كم",مصر الجديدة,2024-05-07,"1,110,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444385/medium_up_1a903ff75f7e533dec4750d4c7b2a648.jpg
مرسيدس E 200 2000,E 200,أسود,"300,000 كم",دمياط,2024-05-07,"780,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس E 200 2022,E 200,أسود,- كم,الهرم,2024-05-07,"5,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6450139/medium_up_91002aea6545d0c1dc4854da2dd9699c.jpg
مرسيدس C 250 2011,C 250,أسود,"63,000 كم",الإسماعيلية,2024-05-07,"1,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/22/6359144/medium_up_c7b6b422a2b7eab070225f425e32089f.jpg
مرسيدس 200 1975,200,أبيض,- كم,المنيا‎,2024-05-07,"60,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6449983/medium_up_5d8833f83efd270d5a60d33f3ad18497.jpg
مرسيدس E 200 2006,E 200,فضي,"230,000 كم",القليوبية‎‎,2024-05-07,"650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6449929/medium_up_9265085d971efd741ccdce7dba0a4224.jpg
مرسيدس GLA 2023,GLA,فيراني,"20,000 كم",شبرا,2024-05-06,"2,680,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6449455/medium_up_d240c1221083fdd52b8ae3d2caeecea1.jpg
مرسيدس CLA 200 2022,CLA 200,أسود,"20,000 كم",القاهرة,2024-05-06,"2,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6449419/medium_up_78806eb4c5872d2a1b944d67b0833338.jpg
مرسيدس C 200 2022,C 200,فيراني,"9,500 كم",القليوبية‎‎,2024-05-06,"3,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443436/medium_up_1e1ee2e8d4eb4ff47eaa42808d848c3a.jpg
مرسيدس C 180 2022,C 180,رمادي,"32,000 كم",6 أكتوبر,2024-05-06,"3,400,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس C 180 2013,C 180,أسود,- كم,منيا القمح,2024-05-06,"1,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6449113/medium_up_3ab87f1176ce320ad51ef0b87e8be52d.jpg
مرسيدس C 180 2019,C 180,رمادي,"60,000 كم",مدينة نصر,2024-05-06,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/06/6392105/medium_up_244884871fb211e627506a282952e956.jpg
مرسيدس E 250 2010,E 250,أبيض,"177,000 كم",التجمع - القاهرة الجديدة,2024-05-06,"1,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/23/6422360/medium_up_c854f4f47425639b780489069a2618ec.jpg
مرسيدس C 180 2002,C 180,الأزرق الداكن,"240,000 كم",القاهرة,2024-05-06,"550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/19/6412028/medium_up_3d0be0df89dd3c3c6d38feaabe9fba8a.jpg
مرسيدس C 180 2013,C 180,سماوى,"82,000 كم",حدائق الاهرام,2024-05-06,"1,600,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448818/medium_up_3f722200e91bbab477048a8de9b20bdf.jpg
مرسيدس E 200 2015,E 200,أسود,"115,000 كم",التجمع - القاهرة الجديدة,2024-05-06,"2,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/27/6370715/medium_up_2725323446c06188d41df1f0fdae630b.jpg
مرسيدس A 200 2022,A 200,أزرق,"50,000 كم",القاهرة,2024-05-06,"2,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448683/medium_up_fecd40e0229cb6d08f0a9ecee7a58548.jpg
مرسيدس C 180 2022,C 180,فضي,"13,000 كم",التجمع - القاهرة الجديدة,2024-05-06,"2,900,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/14/6402083/medium_up_2c9eea001ed3a1c880ae0cb2e77b92a3.jpg
مرسيدس C 180 2022,C 180,احمر,"85,000 كم",المعادى,2024-05-06,"2,950,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6442543/medium_up_55a24c06be80513e4bb2606f406ad839.jpg
مرسيدس CLA 200 2022,CLA 200,أسود,"27,000 كم",مدينة نصر,2024-05-06,"2,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448479/medium_up_8014f1df18a2256fceda01142875bd88.jpg
مرسيدس C 200 2023,C 200,أزرق,"18,000 كم",الشروق,2024-05-06,"3,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448278/medium_up_1d18219eed78507e68f2e743ca51996e.jpg
مرسيدس C 180 2004,C 180,أسود,"277,000 كم",مدينة نصر,2024-05-06,"680,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6442227/medium_up_7139cb4c1d55f2e6f08fd01164e564d5.jpg
مرسيدس C 180 2014,C 180,أبيض,"148,000 كم",التجمع - القاهرة الجديدة,2024-05-06,"158,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448147/medium_up_560706ae0dcf0f58b65db7d5a520e031.jpg
مرسيدس E 300 2020,E 300,أسود,"15,000 كم",التجمع - القاهرة الجديدة,2024-05-06,"3,850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/06/6448108/medium_up_a7e5ab9d85ebeecd680b15f1ffe7af74.jpg
مرسيدس CLA 200 2015,CLA 200,أبيض,"150,000 كم",مدينة نصر,2024-05-06,"1,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6442156/medium_up_f8757867fc2a3d1907b05194fae98a78.jpg
مرسيدس C 200 2008,C 200,بيج,"245,000 كم",مدينه السلام,2024-05-05,"1,150,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6447697/medium_up_a5e9ad6d7db295c18da135e1429c03df.jpg
مرسيدس C 180 2020,C 180,أسود,"50,000 كم",مصر الجديدة,2024-05-05,"2,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6447705/medium_up_ee2a8dbbd740c4d60cea2b344235ee62.jpg
مرسيدس C 180 2003,C 180,فضي,"200,000 كم",التجمع - القاهرة الجديدة,2024-05-05,"735,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445387/medium_up_15dd000dfb6ceb65a62a3aedf942f295.jpg
مرسيدس C 180 2020,C 180,فضي,"37,000 كم",مدينة نصر,2024-05-05,"2,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/02/6441000/medium_up_7848da9bc8846e1825b62eb0a2eb88ec.jpg
مرسيدس E 180 2019,E 180,أسود,"22,000 كم",التجمع - القاهرة الجديدة,2024-05-05,"3,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446961/medium_up_d5fe106351d52b74c5a1a8615a2ab1ae.jpg
مرسيدس E 200 AMG 2021,E 200 AMG,أسود,"66,000 كم",التجمع - القاهرة الجديدة,2024-05-05,"4,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446923/medium_up_99ce9125af1150bde305c2273372229c.jpg
مرسيدس 230 1980,230,أسود,"350,000 كم",6 أكتوبر,2024-04-30,"230,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/01/6318364/medium_up_06399e3c1fd890924a4fd4e145bdec1f.jpg
مرسيدس E 250 2015,E 250,فضي,"130,000 كم",التجمع - القاهرة الجديدة,2024-05-05,"2,480,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/01/6439317/medium_up_7ed4f264b273412815d47e729e730158.jpg
مرسيدس C 250 2011,C 250,فضي,"280,000 كم",مدينة نصر,2024-05-05,"1,270,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/28/6373210/medium_up_a3867cb682781ba41c4f6d58f93ebe6c.jpg
مرسيدس C 200 2009,C 200,أسود,"200,000 كم",بورسعيد,2024-05-05,"1,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446655/medium_up_2b340619b489a1936e0b0a818e573389.jpg
مرسيدس C 180 2019,C 180,أبيض,"80,000 كم",6 أكتوبر,2024-05-05,"2,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/08/6333931/medium_up_b400bc6978ce2c4b36936dfc1c1ff159.jpg
مرسيدس 300 1987,300,أزرق,- كم,مدينتى,2024-05-05,"220,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446265/medium_up_13bb2335b7f55d2ff7ea78e92cfb2846.jpg
مرسيدس 200 1996,200,أبيض,"290,000 كم",المهندسين,2024-05-05,"520,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446259/medium_up_7292b818a73aa6b0891b1dfd1c3bc33b.jpg
مرسيدس E 200 2021,E 200,أبيض,"32,000 كم",القاهرة,2024-05-05,"4,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446128/medium_up_0cd92b6363de757e050c34b6e5cd6fec.jpg
مرسيدس E 280 2008,E 280,أسود,"235,000 كم",الإسكندرية,2024-05-05,"1,275,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/05/6446109/medium_up_f6965e1f3e975225c06c96fa5ceb1a84.jpg
مرسيدس E 180 2018,E 180,فضي,"70,000 كم",المقطم,2024-05-04,"2,700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6442825/medium_up_bf645fb8f440660bf260af54482bb302.jpg
مرسيدس C 180 2003,C 180,أبيض,"177,000 كم",الهرم,2024-05-04,"730,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445795/medium_up_541aedfebbac86c2c823e89a4cb3f37e.jpg
مرسيدس E 200 AMG 2023,E 200 AMG,احمر,- كم,الجيزة,2024-05-04,"5,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445719/medium_up_7893983c23d5c73a766b9f414af0e58a.jpg
مرسيدس 280 1984,280,اخضر غامق,"250,000 كم",أسيوط,2024-05-04,"250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445687/medium_up_e32dc6b8c3337eeb9a4a250d744c3f20.jpg
مرسيدس C 180 2019,C 180,أبيض,"70,000 كم",الغردقة,2024-05-04,"2,900,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/01/6439492/medium_up_bfb6857034b263c746e3efecd47da64e.jpg
مرسيدس C 180 2022,C 180,أسود,"14,000 كم",التجمع - القاهرة الجديدة,2024-01-28,"3,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/01/28/6253459/medium_up_900a96d0ca9a04c2bcf1da1199028d48.jpg
مرسيدس E 280 2009,E 280,فيراني,"200,000 كم",أشمون,2024-05-04,"1,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445351/medium_up_83800dda3690524dcb2299eaee92c52f.jpg
مرسيدس GLA 2019,GLA,فضي,"103,000 كم",القاهرة,2024-05-04,"1,850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445234/medium_up_bde130f2378c9d9ce74591e11a67f72a.jpg
مرسيدس C 180 2022,C 180,أسود,"22,000 كم",6 أكتوبر,2024-05-04,"3,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/02/6385087/medium_up_608758ccfab04fa2053c76c4cc928569.jpg
مرسيدس C 180 2022,C 180,أسود,"19,000 كم",القاهرة,2024-05-04,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/01/6439053/medium_up_697f6b8cf3f6e2ed72bc3f061251dfc4.jpg
مرسيدس E 200 2014,E 200,أسود,"135,000 كم",الجيزة,2024-05-04,"2,330,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/29/6434097/medium_up_03335be22edbc5612e764a8f5702b861.jpg
مرسيدس C 180 2015,C 180,أبيض,"57,000 كم",الإسكندرية,2024-05-04,"1,930,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس E 220 2021,E 220,أسود,"45,000 كم",القاهرة,2024-05-04,"4,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445084/medium_up_8cef47e415997617867fa39b0e644997.jpg
مرسيدس CLA 180 2017,CLA 180,أبيض,"75,000 كم",الجيزة,2024-05-04,"2,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445045/medium_up_d26d1df5dd997745efe4f4cb077ef64a.jpg
مرسيدس GLA 2023,GLA,أبيض,"10,000 كم",القاهرة,2024-05-04,"3,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445035/medium_up_c407e9472ee091f040c5372d9df06d54.jpg
مرسيدس CLA 180 2018,CLA 180,أسود,"112,000 كم",القاهرة,2024-05-04,"1,990,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444937/medium_up_0837a7e1984685cc2f1c7eb335a97e35.jpg
مرسيدس C 200 2013,C 200,أسود,"135,000 كم",الهرم,2024-05-04,"2,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444861/medium_up_a68f7ae639cc5975da0caac77aa96fba.jpg
مرسيدس 230 1980,230,أبيض,- كم,أسيوط,2024-05-04,"285,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444718/medium_up_9fc55c52bd2faa32652bc5688e73a197.jpg
مرسيدس C 180 2009,C 180,فضي,"135,000 كم",الإسكندرية,2024-05-04,"1,075,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444579/medium_up_a737fb8fc638e5d2c3801300fb2307e7.jpg
مرسيدس C 180 2010,C 180,فيراني,"245,000 كم",الزمالك,2024-05-04,"1,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443427/medium_up_00e1af374d93231e6b3f518f123a72a3.jpg
مرسيدس 200 2024,200,فضي,"19,995 كم",6 أكتوبر,2024-05-04,"3,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444435/medium_up_0a4cbd59af8fd2e774babb48cecce36a.jpg
مرسيدس C 200 2022,C 200,أبيض,"40,000 كم",القاهرة,2024-05-04,"3,675,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6444159/medium_up_e60d516337ab18b2105aec98669012e6.jpg
مرسيدس 200 1981,200,أبيض,"335,000 كم",الزقازيق,2024-05-04,"160,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/01/6437886/medium_up_3fd184405e12934cbefba9892217ef82.jpg
مرسيدس CLA 200 2023,CLA 200,فضي,"8,000 كم",مدينة نصر,2024-04-21,"2,825,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/27/6311708/medium_up_8e29db6ad6268ae71a6822dfbe866ae7.jpg
مرسيدس EQE 2023,EQE,أسود,"15,000 كم",مصر الجديدة,2024-05-03,"4,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443973/medium_up_63728063f0f033c973d436f1fd309b9c.jpg
مرسيدس GLC 200 2024,GLC 200,أسود,1 كم,التجمع - القاهرة الجديدة,2024-04-01,"5,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/01/6382928/medium_up_7297d2a8c865a2207e350ad29e4df2bf.jpg
مرسيدس C 180 2016,C 180,أبيض,"162,000 كم",التجمع - القاهرة الجديدة,2024-05-03,"1,650,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس C 180 2022,C 180,بترولي,"2,600 كم",مدينة نصر,2024-05-03,"3,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443641/medium_up_3006cdc4afcbb28009339590c3c892c5.jpg
مرسيدس C 180 2009,C 180,أسود,"373,000 كم",القاهرة,2024-05-03,"920,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443592/medium_up_bf71383a5e11b06e1854da8b1a91af59.jpg
مرسيدس CLE 2024,CLE,أسود,- كم,مدينة نصر,2024-05-03,"4,950,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443548/medium_up_ab744dfc2893b751c89982ef7384dfc5.jpg
مرسيدس GLC 200 AMG مستوردة 2024,GLC 200 AMG مستوردة,أسود,- كم,مدينة نصر,2024-05-03,"5,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443536/medium_up_5026543a787397e764f5681b230ebbbe.jpg
مرسيدس E 200 2020,E 200,فضي,"33,000 كم",القاهرة,2024-04-27,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/07/6393266/medium_up_6e5f054ca8ad5eb07c4ad980be9d289f.jpg
