title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 180 2020,C 180,أسود,"30,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,490,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/17/6471684/medium_up_1d8334c42bc25ed52db6d03f21b987bb.jpg
مرسيدس CLA 200 2020,CLA 200,فيراني,"49,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/17/6471678/medium_up_d513002e5d255370265993a401a9c8eb.jpg
مرسيدس C 180 2013,C 180,فضي,"105,000 كم",كوم حمادة,2024-05-20,"1,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6471031/medium_up_0b0e3b2f686e59013fdb014a61b695fb.jpg
مرسيدس 350 2006,350,رمادي,"196,000 كم",القاهرة,2024-05-20,"1,600,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470955/medium_up_1a09b86007bae6cab2775c9c2ce5cb3f.jpg
مرسيدس C 300 2020,C 300,فضي,"57,000 كم",القاهرة,2024-05-20,"4,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470929/medium_up_988d6ca6040135b1cc4e15dd2c6fc740.jpg
مرسيدس CLA 180 2021,CLA 180,فضي,"130,000 كم",المهندسين,2024-05-20,"1,890,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470851/medium_up_6fd1f0759281ba79eafac6be32e7d8c6.jpg
مرسيدس E 180 2018,E 180,فيراني,"130,000 كم",مدينة نصر,2024-05-20,"650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470676/medium_up_94afb775159173e0e0db6527ac77e156.jpg
مرسيدس C 180 2015,C 180,أبيض,"95,000 كم",مدينة نصر,2024-05-20,"500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470649/medium_up_446167801132c282d09f76fc5158c5e4.jpg
مرسيدس C 180 2019,C 180,فيراني,"100,000 كم",مدينة نصر,2024-05-20,"585,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470620/medium_up_7b22214a008c819fff7d24919f8433d5.jpg
مرسيدس C 180 2014,C 180,أسود,"200,000 كم",القاهرة,2024-05-20,"385,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470602/medium_up_790c372b11b2a77f7e1d14be05c66c3b.jpg
مرسيدس C 200 2022,C 200,أبيض,"26,000 كم",6 أكتوبر,2024-05-20,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470251/medium_up_83c7dc68343935d16feda91e679b40c5.jpg
مرسيدس 240 1999,240,فضي,"250,000 كم",الإسماعيلية,2024-05-20,"630,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6469846/medium_up_76993dc77f89d7b03c040202c7c45a46.jpg
مرسيدس GLC 300 2023,GLC 300,أسود,- كم,القاهرة,2024-05-20,"5,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/02/6440857/medium_up_4a22f3d52816e8244dbe2ab5f7460c92.jpg
مرسيدس E 180 2018,E 180,أبيض,"62,000 كم",القاهرة,2024-05-20,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6443182/medium_up_060084a505b7677ed90e030d9551a207.jpg
مرسيدس E 200 2020,E 200,فيراني,"32,000 كم",مصر الجديدة,2024-05-20,"3,850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/04/6445048/medium_up_18391f76afd327e62237b7c32823bcf0.jpg
مرسيدس C 180 2020,C 180,أسود,"45,000 كم",القاهرة,2024-05-20,"2,700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6461529/medium_up_bcb3a34e14fa0cbaf2d4a6fb511a1a68.jpg
مرسيدس CLA 200 2023,CLA 200,فضي,"8,000 كم",مصر الجديدة,2024-05-20,"2,800,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/28/6372562/medium_up_edcd3a2743ee650054d8b100329e9c14.jpg
مرسيدس C 250 2011,C 250,فضي,"195,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"1,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470004/medium_up_ae31d68c0f9ca1795657842eac7484a5.jpg
مرسيدس 240 2005,240,أسود,"245,000 كم",6 أكتوبر,2024-05-20,"950,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6469749/medium_up_2e21fc492179f26d1071b81de0f37782.jpg
مرسيدس C 200 2007,C 200,فضي,"275,000 كم",الهرم,2024-05-20,"750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6469585/medium_up_c181816558b96b356c4f1b956e72587e.jpg
مرسيدس E 200 2024,E 200,أسود,19 كم,المهندسين,2024-05-20,"5,700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6469389/medium_up_c8d87e6e9f43175e53ddd084cba21dbc.jpg
